domain_id	Accession_pfam	Clan_pfam	Function_pfam	alignment_length	bit_score
MPI_cupin_dom	PF21621	CL0029	Mannose-6-phosphate isomerase, cupin domain	83.0	67.78
XdhC_C	PF13478	CL0063	XdhC Rossmann domain	142.0	112.0
DUF6123	PF19618		Family of unknown function (DUF6123)	88.0	82.48
ATP-grasp_4	PF13535	CL0179	ATP-grasp domain	144.0	30.86
PASTA	PF03793		PASTA domain	267.0	45.43
Toprim_4	PF13662	CL0413	Toprim domain	92.0	83.12
Zn_ribbon_NrdR	PF22811	CL0167	Transcriptional repressor NrdR-like, N-terminal domain	42.0	73.64
RecX_HTH3	PF21981	CL0123	RecX, third three-helix domain	99.0	31.73
Phage_Gp19	PF09355		Phage protein Gp19/Gp15/Gp42	117.0	145.18
HIRAN	PF08797		HIRAN domain	85.0	35.53
HHH_6	PF14579	CL0198	Helix-hairpin-helix motif	86.0	47.97
HTH_Tnp_1	PF01527	CL0123	Transposase	73.0	41.65
Ribosomal_S30AE	PF02482	CL0219	Sigma 54 modulation protein / S30EA ribosomal protein	91.0	86.25
HicB_lk_antitox	PF15919	CL0057	HicB_like antitoxin of bacterial toxin-antitoxin system	117.0	46.69
malic	PF00390	CL0603	Malic enzyme, N-terminal domain	183.0	234.04
DUF1003	PF06210		Protein of unknown function (DUF1003)	103.0	135.88
Mur_ligase_C	PF02875	CL0794	Mur ligase, glutamate ligase domain	135.0	66.35
ECH_1	PF00378	CL0127	Enoyl-CoA hydratase/isomerase	251.0	238.27
ParE_toxin	PF05016	CL0136	ParE toxin of type II toxin-antitoxin system, parDE	98.0	53.36
UDPG_MGDP_dh_C	PF03720	CL0039	UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain	88.0	43.82
DUF6630	PF20335		Domain of unknown function (DUF6630)	159.0	122.39
DUF5613	PF18467	CL0257	Domain of unknown function (DUF5613)	98.0	50.33
MZB	PF09369		MrfA Zn-binding domain	82.0	35.21
UDG	PF03167	CL0771	Uracil DNA glycosylase superfamily	157.0	84.86
NFACT-R_1	PF05670	CL0684	NFACT protein RNA binding domain	103.0	39.21
Hydant_A_N	PF05378	CL0108	Hydantoinase/oxoprolinase N-terminal region	170.0	69.39
PAS_9	PF13426	CL0183	PAS domain	100.0	13.77
GATase_2	PF00310	CL0052	Glutamine amidotransferases class-II	411.0	548.54
IGPS	PF00218	CL0036	Indole-3-glycerol phosphate synthase	257.0	258.89
CxxCxxCC	PF03692		Putative zinc- or iron-chelating domain	98.0	58.27
DNA_pol3_finger	PF17657		Bacterial DNA polymerase III alpha subunit finger domain	157.0	93.64
UvrD_C	PF13361	CL0023	UvrD-like helicase C-terminal domain	423.0	110.14
Cas9_a	PF18470	CL0693	Cas9 alpha-helical lobe domain	209.0	35.81
PP_kinase_N	PF13089		Polyphosphate kinase N-terminal domain	104.0	126.09
Pirin_C	PF05726	CL0029	Pirin C-terminal cupin domain	104.0	68.5
PTSIIB_sorb	PF03830		PTS system sorbose subfamily IIB component	154.0	134.03
GbpC	PF08363		Glucan-binding protein C	288.0	296.99
Bacteriocin_II	PF01721		Class II bacteriocin	69.0	39.5
EF-Ts_N	PF25025	CL0214	Elongation factor Ts, mitochondrial, N-terminal	49.0	24.57
Caroten_synth	PF04240	CL0798	Carotenoid biosynthesis protein	199.0	117.48
MFS_2	PF13347	CL0015	MFS/sugar transport protein	436.0	130.6
SRP54_N	PF02881		SRP54-type protein, helical bundle domain	78.0	78.86
DUF896	PF05979		Bacterial protein of unknown function (DUF896)	65.0	101.59
Ribosomal_L20	PF00453		Ribosomal protein L20	107.0	163.56
polyprenyl_synt	PF00348	CL0613	Polyprenyl synthetase	257.0	200.26
DapH_N	PF08503		Tetrahydrodipicolinate succinyltransferase N-terminal	78.0	81.87
YgjP-like	PF01863	CL0126	YgjP-like, metallopeptidase domain	207.0	163.04
BPD_transp_1	PF00528	CL0404	Binding-protein-dependent transport system inner membrane component	176.0	53.83
TruB_C_2	PF16198	CL0649	tRNA pseudouridylate synthase B C-terminal domain	64.0	41.11
DUF72	PF01904	CL0036	Protein of unknown function DUF72	250.0	200.88
Phage_int_SAM_3	PF14659	CL0469	Phage integrase, N-terminal SAM-like domain	58.0	62.74
HigB-like_toxin	PF05015	CL0136	RelE-like toxin of type II toxin-antitoxin system HigB	88.0	31.2
ATP-synt_DE	PF00401	CL0753	ATP synthase, Delta/Epsilon chain, long alpha-helix domain	49.0	45.03
DDE_Tnp_1_assoc	PF13808		DDE_Tnp_1-associated	81.0	61.91
HisKA	PF00512	CL0025	His Kinase A (phospho-acceptor) domain	67.0	66.39
MurJ	PF03023	CL0222	Lipid II flippase MurJ	466.0	245.61
PEP-utilisers_N	PF05524		PEP-utilising enzyme, N-terminal	123.0	114.72
DUF5655	PF18899	CL0631	Domain of unknown function (DUF5655)	109.0	29.43
Glucosamine_iso	PF01182	CL0063	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase	210.0	57.64
CoiA_N	PF25164	CL0888	Competence protein CoiA, N-terminal domain	43.0	33.33
IclR_C	PF01614	CL0161	Bacterial transcriptional regulator IclR C-terminal	175.0	162.04
ZnuA	PF01297	CL0043	Zinc-uptake complex component A periplasmic	287.0	277.47
MazG	PF03819	CL0231	MazG nucleotide pyrophosphohydrolase domain	80.0	58.15
Peptidase_Prp	PF04327		Cysteine protease Prp	104.0	107.65
FumaraseC_C	PF10415		Fumarase C C-terminus	54.0	63.97
Ribosomal_L36	PF00444		Ribosomal protein L36	37.0	72.65
SH3_13	PF18335	CL0010	ATP-dependent RecD-like DNA helicase SH3 domain	71.0	75.15
DUF3670	PF12419		SNF2 Helicase protein	109.0	75.72
DUF6054	PF19524		Family of unknown function (DUF6054)	103.0	58.5
Sigma70_r4_2	PF08281	CL0123	Sigma-70, region 4	51.0	29.98
Glyco_hydro_1	PF00232	CL0036	Glycosyl hydrolase family 1	463.0	326.23
Ribosomal_S19	PF00203		Ribosomal protein S19	81.0	132.17
YceM-like_C	PF21378	CL0139	YceM-like, C-terminal domain	117.0	31.63
RelB	PF04221	CL0057	RelB antitoxin	87.0	34.6
ILV_EDD_C	PF24877	CL0364	Dihydroxy-acid/6-phosphogluconate dehydratase C-terminal	192.0	251.24
DHDPS	PF00701	CL0036	Dihydrodipicolinate synthetase family	289.0	260.03
Aconitase	PF00330		Aconitase family (aconitate hydratase)	401.0	360.9
MacB_PCD	PF12704	CL0199	MacB-like periplasmic core domain	185.0	30.57
Dala_Dala_lig_N	PF01820	CL0063	D-ala D-ala ligase N-terminus	113.0	102.59
REP_ORF2-G2P	PF23343	CL0169	Replication-associated protein ORF2/G2P	130.0	17.08
Branch_AA_trans	PF05525	CL0062	Branched-chain amino acid transport protein	433.0	482.4
SSB	PF00436	CL0021	Single-strand binding protein family	101.0	44.66
HTH_17	PF12728	CL0123	Helix-turn-helix domain	26.0	7.75
Amidohydro_2	PF04909	CL0036	Amidohydrolase	244.0	95.21
Exonuc_VII_L	PF02601		Exonuclease VII, large subunit	315.0	352.64
Peptidase_M19	PF01244	CL0036	Membrane dipeptidase (Peptidase family M19)	322.0	291.2
Topoisom_bac	PF01131		DNA topoisomerase	213.0	67.13
ComGF	PF15980		Putative Competence protein ComGF	101.0	60.72
YtxH	PF12732		YtxH-like protein	109.0	43.7
Pyr_excise	PF03013		Pyrimidine dimer DNA glycosylase	74.0	84.17
Ribosomal_L13	PF00572		Ribosomal protein L13	119.0	155.02
Fructosamin_kin	PF03881	CL0016	Fructosamine kinase	281.0	282.96
AP_endonuc_2	PF01261	CL0036	Xylose isomerase-like TIM barrel	220.0	44.11
TctC	PF03401	CL0177	Tripartite tricarboxylate transporter family receptor	274.0	81.19
NAD_binding_3	PF03447	CL0063	Homoserine dehydrogenase, NAD binding domain	122.0	61.24
Glyco_hydro_32N	PF00251	CL0143	Glycosyl hydrolases family 32 N-terminal domain	306.0	348.64
DUF421	PF04239		YetF C-terminal domain	120.0	144.13
Cation_ATPase_C	PF00689		Cation transporting ATPase, C-terminus	169.0	131.5
DALR_1	PF05746	CL0258	DALR anticodon binding domain	114.0	120.42
Glyco_hydro_88	PF07470	CL0059	Glycosyl Hydrolase Family 88	229.0	39.14
Trigger_C	PF05698	CL0262	Bacterial trigger factor protein (TF) C-terminus	158.0	85.78
DUF92	PF01940		Integral membrane protein DUF92	244.0	181.31
THF_DHG_CYH_C	PF02882	CL0063	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain	144.0	191.38
DUF5648	PF18885	CL0849	Domain of unknown function (DUF5648)	129.0	172.18
Ppx-GppA	PF02541	CL0108	Ppx/GppA phosphatase family	278.0	54.57
Prenyltransf	PF01255		Putative undecaprenyl diphosphate synthase	221.0	280.42
Acylphosphatase	PF00708	CL0622	Acylphosphatase	85.0	77.51
PBECR4	PF18813	CL0688	phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease4	138.0	34.98
AllH	PF11392		Oxamate carbamoyltransferase subunit AllH	106.0	93.11
PTSIIA_gutA	PF03829	CL0742	PTS system glucitol/sorbitol-specific IIA component	115.0	116.53
T1R_D3-like	PF22679	CL0023	Type I restriction enzyme subunit R domain 3	169.0	43.87
DUF3862	PF12978	CL0320	Domain of Unknown Function with PDB structure (DUF3862)	155.0	98.05
Gtf3_C	PF26337	CL0113	Glucosyltransferase 3-like, C-terminal domain	165.0	174.03
DUF1905	PF08922	CL0866	Domain of unknown function (DUF1905)	84.0	71.52
Zn_ribbon_recom	PF13408	CL0167	Recombinase zinc beta ribbon domain	70.0	36.88
CvfB_2nd	PF21543	CL0021	Virulence regulatory factor CvfB, second domain	75.0	115.14
DUF2232	PF09991		Predicted membrane protein (DUF2232)	281.0	78.03
Cation_ATPase_N	PF00690		Cation transporter/ATPase, N-terminus	68.0	60.5
Peptidase_M23	PF01551	CL0105	Peptidase family M23	95.0	108.05
HMG-CoA_red	PF00368		Hydroxymethylglutaryl-coenzyme A reductase	372.0	343.75
DUF3042	PF11240		Protein of unknown function (DUF3042)	54.0	86.51
DDAH_eukar	PF19420	CL0197	N,N dimethylarginine dimethylhydrolase, eukaryotic	289.0	42.91
AAA_18	PF13238	CL0023	AAA domain	101.0	28.65
PAS	PF00989	CL0183	PAS fold	112.0	20.0
Ldh_1_N	PF00056	CL0063	lactate/malate dehydrogenase, NAD binding domain	143.0	76.43
SdpI	PF13630		SdpI/YfhL protein family	73.0	60.06
PTS_IIA	PF02255		PTS system, Lactose/Cellobiose specific IIA subunit	94.0	122.08
60KD_IMP	PF02096	CL0376	60Kd inner membrane protein	222.0	127.18
ATP-synt	PF00231		ATP synthase	311.0	299.57
Thr_dehydrat_C	PF00585	CL0070	C-terminal regulatory domain of Threonine dehydratase	93.0	81.71
YitT_membrane	PF02588	CL0181	Uncharacterised 5xTM membrane BCR, YitT family COG1284	204.0	170.87
DUF5067	PF16729	CL0524	Domain of unknown function (DUF5067)	127.0	76.0
HARE-HTH	PF05066	CL0123	HB1, ASXL, restriction endonuclease HTH domain	70.0	46.79
McrB_lid	PF28529	CL0671	McrB, alpha-helical lid domain	64.0	84.91
RUBY_RBDX	PF21349	CL0167	Rubrerythrin, rubredoxin-like domain	34.0	33.69
AzlC	PF03591		AzlC protein	141.0	139.01
Rhomboid	PF01694	CL0207	Rhomboid domain	139.0	126.45
TetR_C_19	PF17924	CL0174	Tetracyclin repressor-like, C-terminal domain	119.0	45.62
EFG_IV	PF03764	CL0329	Elongation factor G, domain IV	116.0	58.79
RusA	PF05866		Endodeoxyribonuclease RusA	142.0	93.26
GTP-bdg_M	PF16360		GTP-binding GTPase Middle Region	79.0	106.38
DnaB_bind	PF10410		DnaB-helicase binding domain of primase	56.0	36.79
Alpha-amylase_N	PF02903	CL0159	Alpha amylase, N-terminal ig-like domain	123.0	130.5
ALS_ss_C	PF10369	CL0070	Small subunit of acetolactate synthase	74.0	95.27
MupG_C	PF05913	CL0475	6-phospho-N-acetylmuramidase, C-terminal	108.0	96.86
CHIM_prot	PF27792		Conserved hypothetical integral membrane protein	491.0	148.63
DNA_gyraseB	PF00204	CL0329	DNA gyrase B	171.0	218.29
C_GCAxxG_C_C	PF09719	CL0317	Putative redox-active protein (C_GCAxxG_C_C)	91.0	75.56
DUF3955	PF13127		Protein of unknown function (DUF3955)	59.0	65.13
tRNA_U5-meth_tr	PF05958	CL0063	tRNA (Uracil-5-)-methyltransferase	198.0	82.77
Terminase_3C	PF17288	CL0219	Terminase RNAseH like domain	144.0	102.16
CRCB	PF02537	CL0184	CrcB-like protein, Camphor Resistance (CrcB)	111.0	100.18
UbiA	PF01040	CL0613	UbiA prenyltransferase family	253.0	42.98
Phg_2220_C	PF09524		Conserved phage C-terminus (Phg_2220_C)	72.0	93.53
DUF3021	PF11457		Protein of unknown function (DUF3021)	122.0	52.62
DNAX_ATPase_lid	PF22608	CL0671	DNA polymerase III clamp loader subunit, ATPase lid domain	49.0	66.94
tRNA-synt_1b	PF00579	CL0039	tRNA synthetases class I (W and Y)	298.0	286.99
Enolase_C	PF00113	CL0036	Enolase, C-terminal TIM barrel domain	292.0	431.61
Rrf2	PF02082	CL0123	Iron-dependent Transcriptional regulator	132.0	128.07
BPL_LplA_LipB	PF03099	CL0040	Biotin/lipoate A/B protein ligase family	125.0	56.89
Cys_Met_Meta_PP	PF01053	CL0061	Cys/Met metabolism PLP-dependent enzyme	290.0	293.0
E3_binding	PF02817		e3 binding domain	72.0	56.55
PIF1	PF05970	CL0023	PIF1-like helicase	100.0	4.17
S4	PF01479	CL0492	S4 domain	48.0	38.34
EbsA	PF17255	CL0266	EbsA-like protein	135.0	153.35
FeS_assembly_P	PF01883	CL0232	Iron-sulfur cluster assembly protein	73.0	84.98
SHOCT	PF09851	CL0660	Short C-terminal domain	28.0	32.27
DUF2207	PF09972	CL0672	Predicted membrane protein (DUF2207) N-terminal domain	188.0	73.23
PGM_PMM_III	PF02880	CL0754	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III	113.0	123.36
MazG-like	PF12643	CL0231	MazG-like family	72.0	77.98
1-cysPrx_C	PF10417		C-terminal domain of 1-Cys peroxiredoxin	33.0	24.03
Choline_kinase	PF01633	CL0016	Choline/ethanolamine kinase	165.0	28.49
CoA_binding_3	PF13727	CL0063	CoA-binding domain	178.0	89.64
Mga	PF05043	CL0123	Mga helix-turn-helix domain	85.0	91.82
DUF285	PF03382	CL0022	Mycoplasma protein of unknown function, DUF285	176.0	17.63
Chorismate_synt	PF01264		Chorismate synthase	340.0	458.6
Thiopep_pre	PF19409	CL0400	Thiopeptide-type bacteriocin precursor	50.0	25.11
DUF3310	PF11753		Protein of unknwon function (DUF3310)	61.0	39.76
Redoxin	PF08534	CL0172	Redoxin	141.0	95.19
Collagen	PF01391		Collagen triple helix repeat (20 copies)	193.0	38.0
GARS_C	PF02843	CL0105	Phosphoribosylglycinamide synthetase, C domain	89.0	61.48
VanY	PF02557	CL0170	D-alanyl-D-alanine carboxypeptidase	131.0	154.59
MapZ_C2	PF18708		MapZ extracellular C-terminal domain 2	94.0	127.87
Sigma70_r3	PF04539	CL0123	Sigma-70 region 3	78.0	105.15
Maf	PF02545	CL0269	Maf-like protein	201.0	192.2
CinA	PF02464		Competence-damaged protein	154.0	153.28
Esterase	PF00756	CL0028	Putative esterase	241.0	66.54
Beta-prop_THOC3	PF25174	CL0186	THOC3 beta-propeller domain	306.0	35.38
Cas_Cas1	PF01867		CRISPR associated protein Cas1	269.0	90.76
Com_YlbF	PF06133		Control of competence regulator ComK, YlbF/YmcA	105.0	101.92
KOW	PF00467	CL0010	KOW motif	32.0	37.64
Guanylate_kin	PF00625	CL0023	Guanylate kinase	183.0	174.54
YjbQ	PF01894		UPF0047 protein YjbQ-like	148.0	92.48
Lip_prot_lig_C	PF10437	CL0233	Bacterial lipoate protein ligase C-terminus	85.0	90.86
ArlS_N	PF18719	CL0165	ArlS sensor domain	145.0	93.07
AraC_binding	PF02311	CL0029	AraC-like ligand binding domain	149.0	37.32
Abi_2	PF07751		Abi-like protein	204.0	122.02
QueT	PF06177	CL0315	QueT transporter	155.0	130.48
Spike_torovirin	PF17072	CL0595	Torovirinae spike glycoprotein	119.0	23.05
NMT1_2	PF13379	CL0177	NMT1-like family	213.0	12.96
Cupin_2	PF07883	CL0029	Cupin domain	73.0	45.47
tRNA-synt_1g	PF09334	CL0039	tRNA synthetases class I (M)	366.0	190.18
Rep_OBD	PF01719	CL0169	Plasmid replication protein, origin binding domain	119.0	117.56
GTP_EFTU_D2	PF03144	CL0866	Elongation factor Tu domain 2	71.0	36.37
DNA_topoisoIV	PF00521		DNA gyrase/topoisomerase IV, subunit A	441.0	506.07
PDH_N	PF02153	CL0063	Prephenate dehydrogenase, nucleotide-binding domain	158.0	127.97
Cthe_2159	PF14262	CL0268	Carbohydrate-binding domain-containing protein Cthe_2159	426.0	140.1
Lant_dehydr_C	PF14028		Lantibiotic biosynthesis dehydratase C-term	287.0	125.68
nSTAND3	PF20720	CL0023	Novel STAND NTPase 3	148.0	31.55
GrpE	PF01025		GrpE	196.0	160.33
Ala_racemase_C	PF00842	CL0866	Alanine racemase, C-terminal domain	125.0	141.81
Phage_holin_5_2	PF16079	CL0562	Phage holin family Hol44, in holin superfamily V	75.0	96.85
Pyr_redox_dim	PF02852	CL0608	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain	110.0	128.29
SMC_ScpB	PF04079	CL0123	Segregation and condensation complex subunit ScpB	162.0	183.9
DXP_redisom_C	PF08436	CL0139	1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain	84.0	136.92
Ion_trans	PF00520	CL0030	Ion transport protein	202.0	54.04
DHHA1	PF02272		DHHA1 domain	99.0	52.83
MVD-like_N	PF22700	CL0329	Diphosphomevalonate decarboxylase-like N-terminal domain	152.0	139.04
NAD_binding_9	PF13454	CL0063	FAD-NAD(P)-binding	178.0	122.48
Glyco_hydro_65C	PF03633	CL0749	Glycosyl hydrolase family 65, C-terminal domain	63.0	61.36
HIT	PF01230	CL0265	HIT domain	99.0	82.34
HMA	PF00403	CL0704	Heavy-metal-associated domain	64.0	47.63
RtcB	PF01139		tRNA-splicing ligase RtcB	137.0	33.43
G3P_antiterm	PF04309	CL0036	Glycerol-3-phosphate responsive antiterminator	141.0	167.12
Abhydrolase_3	PF07859	CL0028	alpha/beta hydrolase fold	223.0	57.83
MIP	PF00230	CL0716	Major intrinsic protein	233.0	138.86
nSTAND1	PF20703	CL0023	Novel STAND NTPase 1	112.0	16.9
Ribonuc_L-PSP	PF01042	CL0534	Endoribonuclease L-PSP	118.0	147.2
ACCA	PF03255	CL0127	Acetyl co-enzyme A carboxylase carboxyltransferase-like	260.0	316.03
Flavodoxin_5	PF12724	CL0042	Flavodoxin domain	138.0	76.44
PDH_C	PF20463	CL0106	Prephenate dehydrogenase, dimerization domain	102.0	103.02
Cyt_bd_oxida_II	PF02322		Cytochrome bd terminal oxidase subunit II	273.0	182.44
DUF948	PF06103		Bacterial protein of unknown function (DUF948)	89.0	98.65
Cauli_VI	PF01693	CL0885	Ribonuclease H1 N-terminal domain	45.0	75.88
Arg_repressor_C	PF02863	CL0738	Arginine repressor, C-terminal domain	68.0	80.6
EIIBC-GUT_N	PF03612		Sorbitol phosphotransferase enzyme II N-terminus	186.0	235.1
GidB	PF02527	CL0063	rRNA small subunit methyltransferase G	188.0	181.65
MqsA_antitoxin	PF15731	CL0123	Antitoxin component of bacterial toxin-antitoxin system, MqsA	129.0	29.05
GRDB	PF07355		Glycine/sarcosine/betaine reductase selenoprotein B (GRDB)	171.0	106.31
Zn_ribbon_RlmA	PF21302	CL0167	RlmA, N-terminal	43.0	54.23
Ribosomal_S5	PF00333	CL0196	Ribosomal protein S5, N-terminal domain	65.0	111.36
Ribonuc_red_lgN	PF00317		Ribonucleotide reductase, all-alpha domain	75.0	59.11
SDH_C	PF18317		Shikimate 5'-dehydrogenase C-terminal domain	31.0	43.16
Asn_synthase	PF00733	CL0039	Asparagine synthase	372.0	285.98
DUF6275	PF19791		Family of unknown function (DUF6275)	94.0	70.93
BioY	PF02632	CL0315	BioY family	141.0	87.92
Alpha-L-AF_C	PF06964	CL0369	Alpha-L-arabinofuranosidase C-terminal domain	146.0	37.92
MCRA	PF06100	CL0063	MCRA family	530.0	545.75
CoA_binding_2	PF13380	CL0063	CoA binding domain	115.0	99.88
Trep_Strep	PF09605		Hypothetical bacterial integral membrane protein (Trep_Strep)	183.0	116.34
FtsK_alpha	PF17854		FtsK alpha domain	98.0	75.72
Glyco_hydro_36N	PF16875	CL0103	Glycosyl hydrolase family 36 N-terminal domain	253.0	208.9
HerA_C	PF05872	CL0023	Helicase HerA-like C-terminal	498.0	716.01
Methyltransf_1N	PF02870	CL0219	6-O-methylguanine DNA methyltransferase, ribonuclease-like domain	74.0	32.58
Polbeta	PF18765	CL0260	Polymerase beta, Nucleotidyltransferase	87.0	56.69
Lmo0850	PF28120		Lmo0850-like	34.0	48.66
BPD_transp_2	PF02653	CL0142	Branched-chain amino acid transport system / permease component	344.0	127.5
PRC	PF05239	CL0350	PRC-barrel domain	74.0	50.64
Aconitase_C	PF00694	CL0364	Aconitase C-terminal domain	80.0	82.65
Proton_antipo_M	PF00361	CL0425	NADH:quinone oxidoreductase/Mrp antiporter, TM	298.0	235.88
TQ	PF18202	CL0159	T-Q ester bond containing domain	256.0	34.66
PP-binding	PF00550	CL0314	Phosphopantetheine attachment site	66.0	53.88
Cas9_RuvC	PF22702	CL0219	Cas9 RuvC domain	111.0	160.72
RVT_3	PF13456	CL0219	Reverse transcriptase-like	122.0	47.96
NDK	PF00334		Nucleoside diphosphate kinase	55.0	26.64
CoA_binding	PF02629	CL0063	CoA binding domain	98.0	50.1
Glu_syn_central	PF04898	CL0036	Glutamate synthase central domain	281.0	357.02
Glycos_transf_2	PF00535	CL0110	Glycosyl transferase family 2	173.0	149.64
DUF2179	PF10035	CL0089	Uncharacterized protein conserved in bacteria (DUF2179)	55.0	77.04
MapZ_EC1	PF18041	CL0891	MapZ extracellular domain 1	129.0	84.3
Ribosomal_S21	PF01165		Ribosomal protein S21	54.0	75.88
Queuosine_synth	PF02547		Queuosine biosynthesis protein	339.0	472.84
Rieske	PF00355	CL0516	Rieske [2Fe-2S] domain	84.0	46.54
FeoB_N	PF02421	CL0023	Ferrous iron transport protein B	155.0	220.73
Wzt_C	PF14524	CL0159	Wzt C-terminal domain	139.0	113.66
DUF4336	PF14234		Domain of unknown function (DUF4336)	236.0	49.62
DUF960	PF06124	CL0768	Staphylococcal protein of unknown function (DUF960)	92.0	26.51
Radical_SAM	PF04055	CL0036	Radical SAM superfamily	169.0	96.38
EzrA	PF06160		Septation ring formation regulator, EzrA	558.0	655.46
Arm-DNA-bind_4	PF14657	CL0081	Arm DNA-binding domain	47.0	40.36
DUF2140	PF09911		Uncharacterized protein conserved in bacteria (DUF2140)	187.0	195.99
DUF8425	PF28527	CL0198	Domain of unknown function (DUF8425)	237.0	185.58
AIRS	PF00586	CL0804	AIR synthase related protein, N-terminal domain	114.0	89.51
Internalin_N	PF12354	CL0220	Bacterial adhesion/invasion protein N terminal	44.0	63.31
Ribosomal_L10	PF00466		Ribosomal protein L10	99.0	99.66
PK_C	PF02887		Pyruvate kinase, alpha/beta domain	119.0	103.87
Glyco_tranf_2_3	PF13641	CL0110	Glycosyltransferase like family 2	233.0	89.0
Sugar_transport	PF06800	CL0184	Sugar transport protein	280.0	243.5
WHD_HrcA	PF03444	CL0123	Winged helix-turn-helix transcription repressor, HrcA DNA-binding	80.0	25.13
HSP70	PF00012	CL0108	Hsp70 protein	580.0	658.85
YqgQ-like	PF06014		YqgQ-like	61.0	101.73
BSH_YknX	PF25984	CL0105	YknX, barrel-sandwich hybrid domain	145.0	65.34
DRTGG	PF07085	CL0063	DRTGG domain	103.0	104.36
NAD_binding_2	PF03446	CL0063	NAD binding domain of 6-phosphogluconate dehydrogenase	171.0	165.37
ThiW	PF09512	CL0315	Thiamine-precursor transporter protein (ThiW)	148.0	161.67
DNA_pol3_beta	PF00712	CL0060	DNA polymerase III beta subunit, N-terminal domain	235.0	57.84
UvrC_RNaseH	PF22920	CL0219	UvrC Ribonuclease H-like domain	108.0	98.39
Fer4_17	PF13534	CL0344	4Fe-4S dicluster domain	67.0	54.12
Pribosyltran	PF00156	CL0533	Phosphoribosyl transferase domain	136.0	38.39
GATase_6	PF13522	CL0052	Glutamine amidotransferase domain	140.0	78.84
Flavodoxin_1	PF00258	CL0042	Flavodoxin	134.0	32.23
Glyco_transf_8	PF01501	CL0110	Glycosyl transferase family 8	250.0	119.71
YxzE	PF25184		YxzE-like putative bacteriocin	70.0	26.91
MgtC	PF02308		MgtC family	131.0	133.26
DeoRC	PF00455	CL0063	DeoR C terminal sensor domain	158.0	133.66
Phage_pRha	PF09669		Phage regulatory protein Rha (Phage_pRha)	86.0	60.96
YbaB_DNA_bd	PF02575	CL0717	YbaB/EbfC DNA-binding family	91.0	105.8
NRDD	PF13597	CL0339	Anaerobic ribonucleoside-triphosphate reductase	590.0	617.05
S1	PF00575	CL0021	S1 RNA binding domain	74.0	78.57
IF3_N	PF05198		Translation initiation factor IF-3, N-terminal domain	70.0	104.78
OCD_Mu_crystall	PF02423	CL0063	Ornithine cyclodeaminase/mu-crystallin family	320.0	248.03
Rgg_C	PF21259	CL0020	HTH-type transcriptional regulator Rgg, C-terminal domain	201.0	73.05
TED	PF08341		Thioester domain	87.0	29.88
DUF6440	PF20037		Family of unknown function (DUF6440)	50.0	85.08
UDPGT	PF00201	CL0113	UDP-glucoronosyl and UDP-glucosyl transferase	345.0	23.76
RecG_dom3_C	PF19833		ATP-dependent DNA helicase RecG, domain 3, C-terminal	81.0	42.4
FIVAR	PF07554	CL0598	FIVAR domain	67.0	28.56
TusA	PF01206	CL0397	Sulfurtransferase TusA	70.0	61.46
PBP_like_2	PF12849	CL0177	PBP superfamily domain	234.0	126.63
ZoocinA_TRD	PF16775		Target recognition domain of lytic exoenzyme	111.0	93.87
TIR_2	PF13676	CL0173	TIR domain	86.0	26.08
NAD_Gly3P_dh_N	PF01210	CL0063	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus	160.0	189.69
UvrD_C_2	PF13538	CL0023	UvrD-like helicase C-terminal domain	49.0	45.82
HTH_6	PF01418	CL0123	Helix-turn-helix domain, rpiR family	72.0	31.54
MBOAT	PF03062	CL0517	MBOAT, membrane-bound O-acyltransferase family	357.0	67.21
Glyco_hydro_3	PF00933	CL0036	Glycosyl hydrolase family 3 N terminal domain	313.0	193.03
RMMBL	PF07521	CL0398	Zn-dependent metallo-hydrolase RNA specificity domain	64.0	45.22
GHMP_kinases_C	PF08544	CL0677	GHMP kinases C terminal	78.0	34.73
LrgB	PF04172	CL0064	LrgB-like family	214.0	226.71
PTS_EIIC	PF02378	CL0493	Phosphotransferase system, EIIC	313.0	168.14
ApbA	PF02558	CL0063	Ketopantoate reductase PanE/ApbA	152.0	158.42
Flavin_Reduct	PF01613	CL0336	Flavin reductase like domain	151.0	48.09
Biotin_carb_C	PF02785	CL0105	Biotin carboxylase C-terminal domain	109.0	115.2
Peptidase_S15	PF02129	CL0028	X-Pro dipeptidyl-peptidase (S15 family)	270.0	50.4
ThrE	PF06738	CL0470	Putative threonine/serine exporter	242.0	183.64
YknX_C	PF25989	CL0901	YknX, C-terminal permuted SH3-like domain	69.0	62.52
HTH_40	PF14493	CL0123	Helix-turn-helix domain	87.0	52.45
DUF1827	PF08860	CL0860	Domain of unknown function (DUF1827)	97.0	121.43
2-Hacid_dh_C	PF02826	CL0063	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	181.0	141.71
HmpF	PF28019		Pilus motility taxis protein HmpF	362.0	15.81
